sku,tp,final_mrp_old,margin
Os203_1100_2XL,529.00,2395.00,1866.00
Os203_1100_3XL,529.00,2395.00,1866.00
Os204_3091_S,529.00,2395.00,1866.00
Os204_3091_M,529.00,2395.00,1866.00
Os204_3091_L,529.00,2395.00,1866.00
Os204_3091_XL,529.00,2395.00,1866.00
Os204_3091_2XL,529.00,2395.00,1866.00
Os204_3091_3XL,529.00,2395.00,1866.00
Os1063_S,540.00,2395.00,1855.00
Os1063_M,540.00,2395.00,1855.00
Os1063_L,540.00,2395.00,1855.00
Os1063_XL,540.00,2395.00,1855.00
Os1063_2XL,540.00,2395.00,1855.00
Os1063_3XL,540.00,2395.00,1855.00
Os277KR_S,440.00,2295.00,1855.00
Os277KR_M,440.00,2295.00,1855.00
Os277KR_L,440.00,2295.00,1855.00
Os277KR_XL,440.00,2295.00,1855.00
Os277KR_2XL,440.00,2295.00,1855.00
Os277KR_3XL,440.00,2295.00,1855.00
Os171_1096_S,552.00,2395.00,1843.00
Os171_1096_M,552.00,2395.00,1843.00
Os171_1096_L,552.00,2395.00,1843.00
Os171_1096_XL,552.00,2395.00,1843.00
Os171_1096_2XL,552.00,2395.00,1843.00
Os171_1096_3XL,552.00,2395.00,1843.00
Os179_1116_S,570.00,2395.00,1825.00
Os179_1116_M,570.00,2395.00,1825.00
Os179_1116_L,570.00,2395.00,1825.00
Os179_1116_XL,570.00,2395.00,1825.00
Os179_1116_2XL,570.00,2395.00,1825.00
Os179_1116_3XL,570.00,2395.00,1825.00
Os193_1062_S,570.00,2395.00,1825.00
Os193_1062_M,570.00,2395.00,1825.00
Os193_1062_L,570.00,2395.00,1825.00
Os193_1062_XL,570.00,2395.00,1825.00
Os193_1062_2XL,570.00,2395.00,1825.00
Os193_1062_3XL,570.00,2395.00,1825.00
Os205_1054_S,570.00,2395.00,1825.00
Os205_1054_M,570.00,2395.00,1825.00
Os205_1054_L,570.00,2395.00,1825.00
Os205_1054_XL,570.00,2395.00,1825.00
Os205_1054_2XL,570.00,2395.00,1825.00
Os205_1054_3XL,570.00,2395.00,1825.00
Os106_14213_S,581.00,2395.00,1814.00
Os106_14213_M,581.00,2395.00,1814.00
Os106_14213_L,581.00,2395.00,1814.00
Os106_14213_XL,581.00,2395.00,1814.00
Os106_14213_2XL,581.00,2395.00,1814.00
Os106_14213_3XL,581.00,2395.00,1814.00
Os283_S,425.00,2197.00,1772.00
Os283_M,425.00,2197.00,1772.00
Os283_L,425.00,2197.00,1772.00
Os283_XL,425.00,2197.00,1772.00
Os283_2XL,425.00,2197.00,1772.00
Os283_3XL,425.00,2197.00,1772.00
Os287KR_S,425.00,2195.00,1770.00
Os287KR_M,425.00,2195.00,1770.00
Os287KR_L,425.00,2195.00,1770.00
Os287KR_XL,425.00,2195.00,1770.00
Os287KR_2XL,425.00,2195.00,1770.00
Os287KR_3XL,425.00,2195.00,1770.00
Os280KR_S,425.00,2195.00,1770.00
Os280KR_M,425.00,2195.00,1770.00
Os280KR_L,425.00,2195.00,1770.00
Os280KR_XL,425.00,2195.00,1770.00
Os280KR_2XL,425.00,2195.00,1770.00
Os280KR_3XL,425.00,2195.00,1770.00
Os307KR_S,425.00,2195.00,1770.00
Os307KR_M,425.00,2195.00,1770.00
Os307KR_L,425.00,2195.00,1770.00
Os307KR_XL,425.00,2195.00,1770.00
Os307KR_2XL,425.00,2195.00,1770.00
Os307KR_3XL,425.00,2195.00,1770.00
Os289KR_S,425.00,2195.00,1770.00
Os289KR_M,425.00,2195.00,1770.00
Os289KR_L,425.00,2195.00,1770.00
Os289KR_XL,425.00,2195.00,1770.00
Os289KR_2XL,425.00,2195.00,1770.00
Os289KR_3XL,425.00,2195.00,1770.00
Os275_M,425.00,2195.00,1770.00
Os275_L,425.00,2195.00,1770.00
Os184_1127_S,529.00,2295.00,1766.00
Os184_1127_M,529.00,2295.00,1766.00
Os184_1127_L,529.00,2295.00,1766.00
Os184_1127_XL,529.00,2295.00,1766.00
Os184_1127_2XL,529.00,2295.00,1766.00
Os184_1127_3XL,529.00,2295.00,1766.00
Os185_1105_S,529.00,2295.00,1766.00
Os185_1105_M,529.00,2295.00,1766.00
Os185_1105_L,529.00,2295.00,1766.00
Os185_1105_XL,529.00,2295.00,1766.00
Os185_1105_2XL,529.00,2295.00,1766.00
Os185_1105_3XL,529.00,2295.00,1766.00
Os206_3141_S,538.00,2295.00,1757.00
Os206_3141_M,538.00,2295.00,1757.00
Os206_3141_L,538.00,2295.00,1757.00
Os206_3141_XL,538.00,2295.00,1757.00
Os206_3141_2XL,538.00,2295.00,1757.00
Os206_3141_3XL,538.00,2295.00,1757.00
Os223_3142_S,538.00,2295.00,1757.00
Os223_3142_M,538.00,2295.00,1757.00
Os223_3142_L,538.00,2295.00,1757.00
Os223_3142_XL,538.00,2295.00,1757.00
Os223_3142_2XL,538.00,2295.00,1757.00
Os223_3142_3XL,538.00,2295.00,1757.00
Os212_3143_S,538.00,2295.00,1757.00
Os212_3143_M,538.00,2295.00,1757.00
Os212_3143_L,538.00,2295.00,1757.00
Os212_3143_XL,538.00,2295.00,1757.00
Os212_3143_2XL,538.00,2295.00,1757.00
Os212_3143_3XL,538.00,2295.00,1757.00
Os214_3144_S,538.00,2295.00,1757.00
Os214_3144_M,538.00,2295.00,1757.00
Os214_3144_L,538.00,2295.00,1757.00
Os214_3144_XL,538.00,2295.00,1757.00
Os214_3144_2XL,538.00,2295.00,1757.00
Os214_3144_3XL,538.00,2295.00,1757.00
Os207_3145_S,538.00,2295.00,1757.00
Os207_3145_M,538.00,2295.00,1757.00
Os207_3145_L,538.00,2295.00,1757.00
Os207_3145_XL,538.00,2295.00,1757.00
