sku,amazon_mrp,flipkart_mrp,myntra_mrp,price_gap
Os230_1438_3XL,2495.00,2495.00,2495.00,0.00
Os225_1434_S,2495.00,2495.00,2495.00,0.00
Os225_1434_M,2495.00,2495.00,2495.00,0.00
Os225_1434_L,2495.00,2495.00,2495.00,0.00
Os225_1434_XL,2495.00,2495.00,2495.00,0.00
Os225_1434_2XL,2495.00,2495.00,2495.00,0.00
Os225_1434_3XL,2495.00,2495.00,2495.00,0.00
Os229_1435_S,2495.00,2495.00,2495.00,0.00
Os229_1435_M,2495.00,2495.00,2495.00,0.00
Os229_1435_L,2495.00,2495.00,2495.00,0.00
Os229_1435_XL,2495.00,2495.00,2495.00,0.00
Os229_1435_2XL,2495.00,2495.00,2495.00,0.00
Os229_1435_3XL,2495.00,2495.00,2495.00,0.00
Os200_5041_S,1595.00,1595.00,1595.00,0.00
Os200_5041_M,1595.00,1595.00,1595.00,0.00
Os200_5041_L,1595.00,1595.00,1595.00,0.00
Os200_5041_XL,1595.00,1595.00,1595.00,0.00
Os200_5041_2XL,1595.00,1595.00,1595.00,0.00
Os200_5041_3XL,1595.00,1595.00,1595.00,0.00
Os188_5042_S,1595.00,1595.00,1595.00,0.00
Os188_5042_M,1595.00,1595.00,1595.00,0.00
Os188_5042_L,1595.00,1595.00,1595.00,0.00
Os188_5042_XL,1595.00,1595.00,1595.00,0.00
Os188_5042_2XL,1595.00,1595.00,1595.00,0.00
Os188_5042_3XL,1595.00,1595.00,1595.00,0.00
Os208_5043_S,1595.00,1595.00,1595.00,0.00
Os208_5043_M,1595.00,1595.00,1595.00,0.00
Os208_5043_L,1595.00,1595.00,1595.00,0.00
Os208_5043_XL,1595.00,1595.00,1595.00,0.00
Os208_5043_2XL,1595.00,1595.00,1595.00,0.00
Os208_5043_3XL,1595.00,1595.00,1595.00,0.00
Os183_5044_S,1595.00,1595.00,1595.00,0.00
Os183_5044_M,1595.00,1595.00,1595.00,0.00
Os183_5044_L,1595.00,1595.00,1595.00,0.00
Os183_5044_XL,1595.00,1595.00,1595.00,0.00
Os183_5044_2XL,1595.00,1595.00,1595.00,0.00
Os183_5044_3XL,1595.00,1595.00,1595.00,0.00
Os198_5045_S,1595.00,1595.00,1595.00,0.00
Os198_5045_M,1595.00,1595.00,1595.00,0.00
Os198_5045_L,1595.00,1595.00,1595.00,0.00
Os198_5045_XL,1595.00,1595.00,1595.00,0.00
Os198_5045_2XL,1595.00,1595.00,1595.00,0.00
Os198_5045_3XL,1595.00,1595.00,1595.00,0.00
Os199_5046_S,1595.00,1595.00,1595.00,0.00
Os199_5046_M,1595.00,1595.00,1595.00,0.00
Os199_5046_L,1595.00,1595.00,1595.00,0.00
Os199_5046_XL,1595.00,1595.00,1595.00,0.00
Os199_5046_2XL,1595.00,1595.00,1595.00,0.00
Os199_5046_3XL,1595.00,1595.00,1595.00,0.00
Os170_5048_S,1595.00,1595.00,1595.00,0.00
Os170_5048_M,1595.00,1595.00,1595.00,0.00
Os170_5048_L,1595.00,1595.00,1595.00,0.00
Os170_5048_XL,1595.00,1595.00,1595.00,0.00
Os170_5048_2XL,1595.00,1595.00,1595.00,0.00
Os170_5048_3XL,1595.00,1595.00,1595.00,0.00
Os235_1112_S,3995.00,3995.00,3995.00,0.00
Os235_1112_M,3995.00,3995.00,3995.00,0.00
Os235_1112_L,3995.00,3995.00,3995.00,0.00
